gene_id,MC10-IP,MC10-Input,MC21-IP,MC21-Input,MC22-IP,MC22-Input,MC9-IP,MC9-Input,Petro11-IP,Petro11-Input,Petro12-IP,Petro12-Input,Petro23-IP,Petro23-Input,Petro24-IP,Petro24-Input
MSTRG.2854,1,140,1,186,572,163,1,100,1,167,79,326,1,353,1,187
MSTRG.46483,1,108,75,53,9,123,1,113,355,120,1,326,1,198,27,182
MSTRG.24898,1,362,985,167,4,187,1,95,254,99,5,142,1,97,8,124
MSTRG.39303,1,485,1101,307,5,636,186,877,173,483,129,1586,17,882,215,652
MSTRG.3105,1,103,1,324,609,143,1,112,1,94,66,486,1,124,1,118
MSTRG.22803,1,22,243,8,1,47,1,16,1,9,1,24,1,55,104,15
MSTRG.461,1,271,312,259,1,160,1,320,238,181,1,490,1,218,1,209
MSTRG.16448,1,70,242,46,1,185,1,67,1,103,1,500,1,510,171,205
MSTRG.40200,92,140,2,105,1,191,1,65,1,141,429,535,246,392,4,238
MSTRG.26297,1,106,479,221,2,106,1,148,361,56,1,115,1,88,1,87
MSTRG.6869,1,25,281,1,1,11,1,16,1,1,1,56,1,44,51,28
MSTRG.42935,1,327,1186,227,2,269,2,329,153,422,1,827,3,313,1,204
MSTRG.5942,1,150,1,107,309,146,1,74,1,254,1,339,2058,461,1,283
MSTRG.37623,1,759,3408,907,4,587,1,783,113,494,1,605,3,527,3,312
MSTRG.2983,1,116,1,28,1,52,545,42,607,69,1,76,1,52,1,79
MSTRG.38422,1,165,708,170,1,187,1,188,53,102,1,208,1,155,1,99
MSTRG.29128,1,111,1,162,1,208,139,56,1,204,1,456,1,562,152,395
MSTRG.14050,1,62,640,89,1,78,1,103,65,67,1,122,1,82,1,35
MSTRG.41299,1,217,224,34,1,91,1,85,34,113,4,354,1,187,1,100
MSTRG.19998,1,147,1,129,1107,101,1,146,1,83,1,300,421,141,1,94
MSTRG.40940,1,599,2896,380,1,463,1,326,2454,455,42,1050,548,585,126,329
MSTRG.40900,1,97,1,179,501,77,1,156,1,89,21,222,1,96,1,51
MSTRG.14550,1,73,1,64,1,70,178,85,293,63,1,288,1,244,1,122
MSTRG.25519,1,313,1,312,438,251,1,344,1,319,85,548,1,573,1,221
MSTRG.11991,1,117,1,161,544,112,1,37,1,204,152,505,1,561,1,340
MSTRG.4724,1,151,1,105,983,140,1,244,1,121,1,477,298,332,1,186
MSTRG.22368,434,62,1,47,1,29,1,18,1,78,370,339,1,280,1,172
MSTRG.46053,1,500,1,612,1,308,83,367,790,641,1,685,1,393,117,730
MSTRG.8554,1,258,177,320,1,200,1,206,424,329,1,471,1,456,1,312
MSTRG.1130,1,278,609,229,1,167,404,268,222,136,74,390,1,282,6,111
MSTRG.11654,1,276,1,227,2351,178,1,157,1,96,58,406,1,231,1,82
MSTRG.40954,1,72,745,62,1,140,1,98,560,264,56,664,62,702,270,353
MSTRG.45780,1,36,1,1,1,50,372,71,251,53,1,171,1,37,1,53
MSTRG.24735,110,288,1,163,25,219,1,222,1,62,68,103,1,88,1,42
MSTRG.35605,1,442,114,110,1,416,1,175,4,257,1,687,1,384,55,285
MSTRG.15257,1,67,104,75,1,54,1,65,124,45,1,123,1,31,3,27
MSTRG.7636,1,121,595,103,1,168,364,96,1,210,1,669,1,436,1,321
MSTRG.14436,1,500,110,283,3,347,1,334,889,437,1,655,1,455,1,347
MSTRG.14464,226,11,1,36,1,23,1,7,1,14,208,32,1,46,1,23
MSTRG.37543,1,389,4,238,391,227,1,288,1,202,439,522,1852,440,34,254
