gene_id,MC10-IP,MC10-Input,MC21-IP,MC21-Input,MC22-IP,MC22-Input,MC9-IP,MC9-Input,Petro11-IP,Petro11-Input,Petro12-IP,Petro12-Input,Petro23-IP,Petro23-Input,Petro24-IP,Petro24-Input
MSTRG.26711,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,2
MSTRG.26712,1,16,1,1,1,5,1,1,1,3,1,7,1,1,1,2
MSTRG.26713,1,1,1,1,343,5,1,1,1,19,1,7,1,1,1,1
MSTRG.29363,1,17,1,25,1,10,1,10,1,1,1,1,1,1,1,1
MSTRG.20633,1,3,1,1,1,1,1,3,1,3,1,13,1,29,1,6
gene19462,1,2,1,2,2,2,1,5,6,7,2,15,21,18,7,10
MSTRG.30490,4,31,5,69,5,85,3,46,4,105,1,97,3,93,1,115
gene13010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.30491,1,1,1,1,1,1,1,1,1,1,1,23,1,1,1,1
MSTRG.30492,1,148,79,139,20,175,1,221,99,100,1,215,33,181,8,132
gene12762,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene12763,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene12760,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.30493,1,16,1,15,1,16,1,40,136,1,1,9,1,5,1,12
gene12766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene12767,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
gene16225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene12765,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.30494,1,4,1,13,1,11,1,11,1,21,68,26,1,42,43,23
gene12768,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene30483,1,1,1,1,1,1,1,1,1,3,1,6,1,1,1,1
MSTRG.30495,1,1,1,1,1,1,1,1,1,10,1,26,1,8,1,25
MSTRG.771,1,1,154,1,1,1,1,1,1,1,1,1,3,1,1,1
gene22440,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.30496,1,1,1,1,1,26,1,44,1,33,123,59,1,105,106,59
MSTRG.13837,1,1,1,3,1,2,1,18,1,8,1,1,1,3,1,1
MSTRG.30497,1,1,1,1,1,1,1,22,1,13,1,56,1,47,1,15
MSTRG.12630,1,4,21,2,1,44,1,15,1,6,1,3,1,18,1,5
MSTRG.10501,1,1,1,1,1,1,1,2,1,2,1,1,1,1,23,1
MSTRG.34389,1,1,1,13,1,4,2,2,1,13,1,9,3,33,1,10
